name,ra_deg,dec_deg
A N D R Ó M E D A,0.725277778,41.01
A N T L I A,10.00972222,-33.98111111
A P U S,16.02055556,-75.58416667
A Q U A R I U S,22.44916667,-9.9875
A Q U I L A,19.60416667,3.371111111
A R A,17.29833333,-53.78444444
A R I E S,2.658333333,21.21722222
A U R I G A,5.906388889,39.80277778
B O Ö T E S,14.6275,30.34388889
C A E L U M,4.771111111,-39.19111111
C A M E L O P A R D A L I S,6.081388889,67.05027778
C A N C E R,8.626666667,19.80666667
C A N E S   V E N A T I C I,13.23972222,40.02888889
C A N I S   M A J O R,6.908055556,-22.99222222
C A N I S   M I N O R,7.608611111,6.06
C A P R I C O R N U S,21.03888889,-18.30444444
C A R I N A,9.241111111,-60.68083333
C A S S I O P E I A,0.94,61.4925
C E N T A U R U S,13.15805556,-46.60055556
C E P H E U S,22.95222222,69.22555556
C E T U S,1.620833333,-8.431666667
C H A M A E L E O N,10.68583333,-79.13972222
C I R C I N U S,14.755,-63.63722222
C O L U M B A,5.928888889,-35.73861111
C O M A   B E R E N I C E S,12.675,22.89666667
C O R O N A   A U S T R A L I S,18.77305556,-40.31388889
C O R O N A   B O R E A L I S,15.86972222,32.21638889
C O R V U S,12.42777778,-18.92416667
C R A T E R,11.39805556,-15.65277778
C R U X,12.49027778,-60.16
C Y G N U S,20.51166667,42.76027778
D E L P H I N U S,20.675,13.39194444
D O R A D O,5.340833333,-62.39694444
D R A C O,17.035,63.65777778
E Q U U L E U S,21.18944444,7.141388889
E R I D A N U S,3.846111111,-18.79055556
F O R N A X,2.840277778,-31.08638889
G E M I N I,7.113055556,22.88111111
G R U S,22.68166667,-44.80388889
H E R C U L E S,17.44944444,27.61722222
H O R O L O G I U M,3.194444444,-53.45361111
H Y D R A,10.6,-17.03472222
H Y D R U S,2.073333333,-70.97888889
I N D U S,21.79444444,-58.53361111
L A C E R T A,22.56361111,45.59166667
L E O,10.65305556,13.92416667
L E O   M I N O R,10.30972222,33.08944444
L E P U S,5.595833333,-18.97805556
L I B R A,15.29055556,-16.50416667
L U P U S,15.29805556,-42.02138889
L Y N X,7.961666667,47.71944444
L Y R A,18.91611111,35.63305556
M E N S A,5.290555556,-77.53722222
M I C R O S C O P I U M,20.98416667,-35.9175
M O N O C E R O S,6.847222222,-1.6275
M U S C A,12.56055556,-69.2075
N O R M A,16.12944444,-51.85083333
O C T A N S,21.11833333,-81.7575
O P H I U C H U S,17.38416667,-5.011111111
O R I O N,5.616944444,3.730277778
P A V O,19.60416667,-64.85055556
P E G A S U S,22.64472222,20.05444444
P E R S E U S,3.392777778,44.60694444
P H O E N I X,0.912222222,-46.9075
P I C T O R,5.825555556,-54.15611111
P I S C E S,0.62,10.99277778
P I S C I S   A U S T R I N U S,22.38527778,-30.14555556
P U P P I S,7.646666667,-34.48361111
P Y X I S,8.784444444,-28.75194444
R E T I C U L U M,3.945277778,-62.28583333
S A G I T T A,19.67805556,18.64833333
S A G I T A R I O,19.04194444,-26.55083333
E S C O R P I O,16.87722222,-32.8425
S C U L P T O R,0.520277778,-31.29833333
S C U T U M,18.64805556,-9.8725
S E R P E N S,16.6425,4.829166667
S E X T A N S,10.305,-2.848888889
T A U R U S,4.536388889,17.52666667
T E L E S C O P I U M,19.23194444,-50.4875
T R I A N G U L U M,2.225,32.38833333
T R I A N G U L U M   A U S T R A L E,16.05972222,-65.93027778
T U C A N A,23.87638889,-63.49222222
U R S A   M A J O R,10.9825,53.95805556
U R S A   M I N O R,15.81638889,76.85527778
V E L A,9.3275,-47.41833333
V I R G O,13.3025,-2.501388889
V O L A N S,7.935555556,-69.45027778
V U L P E C U L A,20.08277778,24.11527778
